Titre :;Dollar des Etats-Unis (USD)
Code série :;EXR.D.USD.EUR.SP00.A
Unité :;Dollar des Etats-Unis (USD)
Magnitude :;Unités (0)
Méthode d'observation :;Moyenne de la période (A)
Source :;BCE (Banque Centrale Européenne) (4F0)
2024-02-06;1,0743
2024-02-05;1,0746
2024-02-04;-
2024-02-03;-
2024-02-02;1,0883
2024-02-01;1,0814
2024-01-31;1,0837
2024-01-30;1,0846
2024-01-29;1,0823
2024-01-28;-
2024-01-27;-
2024-01-26;1,0871
2024-01-25;1,0893
2024-01-24;1,0905
2024-01-23;1,0872
2024-01-22;1,089
2024-01-21;-
2024-01-20;-
2024-01-19;1,0887
2024-01-18;1,0875
2024-01-17;1,0877
2024-01-16;1,0882
2024-01-15;1,0945
2024-01-14;-
2024-01-13;-
2024-01-12;1,0942
2024-01-11;1,0987
2024-01-10;1,0946
2024-01-09;1,094
2024-01-08;1,0946
2024-01-07;-
2024-01-06;-
2024-01-05;1,0921
2024-01-04;1,0953
2024-01-03;1,0919
2024-01-02;1,0956
2024-01-01;-
2023-12-31;-
2023-12-30;-
2023-12-29;1,105
2023-12-28;1,1114
2023-12-27;1,1065
2023-12-26;-
2023-12-25;-
2023-12-24;-
2023-12-23;-
2023-12-22;1,1023
2023-12-21;1,0983
2023-12-20;1,0944
2023-12-19;1,0962
2023-12-18;1,0918
2023-12-17;-
2023-12-16;-
2023-12-15;1,0946
2023-12-14;1,0919
2023-12-13;1,0787
2023-12-12;1,0804
2023-12-11;1,0757
2023-12-10;-
2023-12-09;-
2023-12-08;1,0777
2023-12-07;1,0771
2023-12-06;1,0778
2023-12-05;1,0817
2023-12-04;1,0868
2023-12-03;-
2023-12-02;-
2023-12-01;1,0875
2023-11-30;1,0931
2023-11-29;1,0985
2023-11-28;1,0949
2023-11-27;1,0951
2023-11-26;-
2023-11-25;-
2023-11-24;1,0916
2023-11-23;1,09
2023-11-22;1,0911
2023-11-21;1,0955
2023-11-20;1,0928
2023-11-19;-
2023-11-18;-
2023-11-17;1,0872
2023-11-16;1,0849
2023-11-15;1,0868
