Date,Open,High,Low,Close,Adj Close,Volume
2022-12-02,0.999729,1.000612,0.998374,1.000066,1.000066,222732543
2022-12-01,0.999507,1.000587,0.999134,0.999541,0.999541,226324772
2022-11-30,0.999691,1.001958,0.998983,0.999475,0.999475,332356663
2022-11-29,0.999797,1.001227,0.999213,0.999678,0.999678,238719727
2022-11-28,0.999427,1.00139,0.998039,0.99979,0.99979,243745243
2022-11-27,0.999854,1.000709,0.999057,0.999456,0.999456,144665197
2022-11-26,1.000089,1.001523,0.999356,0.999894,0.999894,182151995
2022-11-25,1.000292,1.001008,0.999091,1.000112,1.000112,234311698
2022-11-24,1.000486,1.00171,0.998988,1.000337,1.000337,371982558
2022-11-23,1.000608,1.001653,0.999347,1.000359,1.000359,329177661
2022-11-22,1.000136,1.001981,0.998979,1.000634,1.000634,347957514
2022-11-21,1.00032,1.001171,0.998621,1.000218,1.000218,392166608
2022-11-20,1.000483,1.001082,0.99879,1.000297,1.000297,303883492
2022-11-19,1.000324,1.001244,0.999666,1.00048,1.00048,206563619
2022-11-18,1.000266,1.001405,0.999115,1.000417,1.000417,205430700
2022-11-17,1.000445,1.001027,0.999126,1.000255,1.000255,301456417
2022-11-16,1.001276,1.001372,0.998764,1.000489,1.000489,407188046
2022-11-15,1.00091,1.002144,0.998882,1.001101,1.001101,337587740
2022-11-14,1.00087,1.003029,0.998337,1.000858,1.000858,430197100
2022-11-13,1.000955,1.001809,0.998898,1.001075,1.001075,293433918
2022-11-12,1.001268,1.002106,0.99911,1.000805,1.000805,289150844
2022-11-11,1.002089,1.003134,0.998487,1.001553,1.001553,484693123
2022-11-10,1.000306,1.007893,0.999143,1.002258,1.002258,1042229927
2022-11-09,0.999588,1.002332,0.994124,1.000245,1.000245,944322299
2022-11-08,1.000315,1.002661,0.99045,0.999618,0.999618,651016874
2022-11-07,0.99948,1.00081,0.99892,1.000321,1.000321,308445099
2022-11-06,0.999963,1.000669,0.998727,0.999225,0.999225,246946435
2022-11-05,0.999687,1.000639,0.998905,1.000093,1.000093,205028353
2022-11-04,1.000163,1.001346,0.998512,0.99977,0.99977,343112607
2022-11-03,1.000037,1.000901,0.998826,1.00021,1.00021,244208655
2022-11-02,0.999958,1.001327,0.99858,1.000011,1.000011,296103759
2022-11-01,0.999906,1.000643,0.998952,0.999997,0.999997,210187761
2022-10-31,1.000039,1.000605,0.99833,0.99988,0.99988,332471867
2022-10-30,1.000248,1.000416,0.998853,1.000041,1.000041,225886754
2022-10-29,1.000301,1.000965,0.999076,1.000242,1.000242,291041158
2022-10-28,0.999722,1.000945,0.998736,1.000306,1.000306,390558637
2022-10-27,0.999735,1.000848,0.998507,0.99972,0.99972,338567790
2022-10-26,0.999809,1.001029,0.998938,0.999775,0.999775,356099703
2022-10-25,0.999705,1.001919,0.998374,0.999954,0.999954,346286705
2022-10-24,1.000359,1.000831,0.998587,0.999743,0.999743,268269167
2022-10-23,0.999931,1.00106,0.998971,1.000171,1.000171,169650072
2022-10-22,0.999948,1.000605,0.999139,0.999924,0.999924,202638326
2022-10-21,0.999691,1.001211,0.998711,0.999916,0.999916,254454491
2022-10-20,0.999778,1.000578,0.998789,0.999749,0.999749,198971785
2022-10-19,0.999792,1.000492,0.998783,1.000107,1.000107,213774999
2022-10-18,0.999564,1.000645,0.998937,0.999678,0.999678,238858212
2022-10-17,0.999805,1.000652,0.999086,0.999559,0.999559,312685002
2022-10-16,0.999616,1.000628,0.999216,0.999806,0.999806,177002768
2022-10-15,1.000126,1.000496,0.999083,0.999667,0.999667,148295990
2022-10-14,0.999657,1.001533,0.998722,1.000116,1.000116,450740086
2022-10-13,0.999245,1.001039,0.998376,0.999643,0.999643,595469371
2022-10-12,0.99969,1.000296,0.999226,0.999299,0.999299,234673316
2022-10-11,0.999239,1.000325,0.998652,0.99969,0.99969,357029174
2022-10-10,0.99988,1.000513,0.998571,0.999256,0.999256,240484178
2022-10-09,0.999911,1.000236,0.999096,0.999886,0.999886,183634481
2022-10-08,0.999703,1.000229,0.998845,0.999763,0.999763,164222590
2022-10-07,0.999579,1.000199,0.998394,0.999627,0.999627,329802095
2022-10-06,0.999762,1.000772,0.99887,0.999502,0.999502,389948694
2022-10-05,0.999811,1.000629,0.99895,0.999667,0.999667,275309290
2022-10-04,1.000006,1.001359,0.999167,0.999885,0.999885,327088391
2022-10-03,0.999789,1.000981,0.999021,1.00006,1.00006,501442923
2022-10-02,0.999475,1.000337,0.998622,0.999649,0.999649,244075699
2022-10-01,0.999883,1.000191,0.998952,0.999468,0.999468,359043007
2022-09-30,0.999889,1.000783,0.998416,0.999818,0.999818,486324490
2022-09-29,0.999469,1.001078,0.998423,1.000085,1.000085,424383311
2022-09-28,0.999639,1.000999,0.998169,0.999388,0.999388,407290083
2022-09-27,1.00027,1.001523,0.997434,0.999813,0.999813,349742476
2022-09-26,0.999754,1.000702,0.998655,0.999868,0.999868,323786887
2022-09-25,0.999514,1.000488,0.99847,0.999827,0.999827,195805495
2022-09-24,1.000181,1.000821,0.998625,0.999554,0.999554,245662524
2022-09-23,0.999493,1.001917,0.998954,1.000125,1.000125,296511850
2022-09-22,1.000158,1.001158,0.998623,0.999686,0.999686,375568902
2022-09-21,0.999546,1.001455,0.997876,1.000049,1.000049,487158988
2022-09-20,0.999222,1.000898,0.998629,0.999452,0.999452,351287177
2022-09-19,0.999222,1.000855,0.998036,0.999347,0.999347,489419433
2022-09-18,1.000096,1.000362,0.998625,0.999366,0.999366,371262485
2022-09-17,1.000207,1.000717,0.998957,1.000157,1.000157,190998907
2022-09-16,0.999802,1.000649,0.998466,1.000118,1.000118,442803639
2022-09-15,1.000026,1.000665,0.998235,0.999694,0.999694,694549244
2022-09-14,0.998508,1.000537,0.998172,1.000117,1.000117,698410149
2022-09-13,0.999834,1.000297,0.996593,0.99975,0.99975,851331148
2022-09-12,1.000274,1.000557,0.997372,0.999759,0.999759,469114833
2022-09-11,0.999825,1.000541,0.998448,1.000197,1.000197,340002365
2022-09-10,1.000113,1.000506,0.999034,0.999716,0.999716,345615261
2022-09-09,1.000101,1.001019,0.999042,0.999987,0.999987,467189159
2022-09-08,1.000237,1.00084,0.998645,1.000103,1.000103,391020932
2022-09-07,0.99856,1.000745,0.998548,1.000292,1.000292,504995803
2022-09-06,1.000159,1.001045,0.997749,0.998561,0.998561,573741432
2022-09-05,1.000278,1.001531,0.999046,1.000184,1.000184,519136614
2022-09-04,1.000216,1.000765,0.999122,1.00027,1.00027,531272775
2022-09-03,1.000143,1.000475,0.998333,1.000229,1.000229,299368935
2022-09-02,0.999767,1.001087,0.998124,1.000191,1.000191,477487274
2022-09-01,0.999681,1.00099,0.997113,0.999817,0.999817,370715815
2022-08-31,0.999207,1.000818,0.997774,0.99964,0.99964,593523153
2022-08-30,0.999949,1.000972,0.99743,0.999091,0.999091,648814217
2022-08-29,0.998769,1.001084,0.998756,0.999918,0.999918,628135412
2022-08-28,1.000122,1.000741,0.997604,0.998702,0.998702,335101094
2022-08-27,0.999481,1.000798,0.997376,1.000157,1.000157,457308374
2022-08-26,1.000266,1.001133,0.998028,0.99935,0.99935,562172158
2022-08-25,0.9995,1.001022,0.99909,1.000224,1.000224,298166577
2022-08-24,0.999874,1.000795,0.99869,0.999498,0.999498,415089299
2022-08-23,1.000364,1.001247,0.998638,0.999896,0.999896,475977728
2022-08-22,0.999889,1.001377,0.997667,1.000294,1.000294,490923610
2022-08-21,1.000593,1.001217,0.998664,0.999731,0.999731,428157936
2022-08-20,0.998936,1.001049,0.996967,1.000619,1.000619,504655674
2022-08-19,0.998534,1.000764,0.997699,0.998929,0.998929,808502472
2022-08-18,0.99953,1.000647,0.998497,0.99866,0.99866,333647252
2022-08-17,0.999841,1.000944,0.996917,0.999447,0.999447,575993160
2022-08-16,0.999519,1.000347,0.998086,0.999846,0.999846,522823197
2022-08-15,0.999485,1.001202,0.997925,0.999564,0.999564,637063804
2022-08-14,0.999637,1.000431,0.998078,0.999426,0.999426,356843514
